modname:icbmclassic

modellist:id=%glassbutton,state=powered:true/facing:south,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/90/180/0
modellist:id=%glassbutton,state=powered:true/facing:down,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/180/0/0
modellist:id=%glassbutton,state=powered:true/facing:up,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000
modellist:id=%glassbutton,state=powered:false/facing:west,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/90/270/0
modellist:id=%glassbutton,state=powered:true/facing:east,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/90/90/0
modellist:id=%glassbutton,state=powered:true/facing:west,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/90/270/0
modellist:id=%glassbutton,state=powered:false/facing:east,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/90/90/0
modellist:id=%glassbutton,state=powered:false/facing:down,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/180/0/0
modellist:id=%glassbutton,state=powered:false/facing:up,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000
modellist:id=%glassbutton,state=powered:false/facing:south,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/90/180/0
modellist:id=%glassbutton,state=powered:false/facing:north,box=5.000000/0.000000/6.000000:11.000000/2.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/16.000000:s/0/5.000000/14.000000/11.000000/16.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/16.000000:n/0/5.000000/14.000000/11.000000/16.000000:R/90/0/0
modellist:id=%glassbutton,state=powered:true/facing:north,box=5.000000/0.000000/6.000000:11.000000/1.000000/10.000000:u/0/5.000000/10.000000/11.000000/6.000000:e/0/6.000000/14.000000/10.000000/15.000000:s/0/5.000000/14.000000/11.000000/15.000000:d/0/5.000000/6.000000/11.000000/10.000000:w/0/6.000000/14.000000/10.000000/15.000000:n/0/5.000000/14.000000/11.000000/15.000000:R/90/0/0
modellist:id=%spikes,state=type:fire,box=0.800000/0.000000/8.000000/false:15.200000/16.000000/8.000000/0.000000/45.000000/0.000000/8.000000/8.000000/8.000000:s/0/0.000000/0.000000/16.000000/16.000000:n/0/0.000000/0.000000/16.000000/16.000000,box=8.000000/0.000000/0.800000/false:8.000000/16.000000/15.200000/0.000000/45.000000/0.000000/8.000000/8.000000/8.000000:e/0/0.000000/0.000000/16.000000/16.000000:w/0/0.000000/0.000000/16.000000/16.000000
modellist:id=%spikes,state=type:poison,box=0.800000/0.000000/8.000000/false:15.200000/16.000000/8.000000/0.000000/45.000000/0.000000/8.000000/8.000000/8.000000:s/0/0.000000/0.000000/16.000000/16.000000:n/0/0.000000/0.000000/16.000000/16.000000,box=8.000000/0.000000/0.800000/false:8.000000/16.000000/15.200000/0.000000/45.000000/0.000000/8.000000/8.000000/8.000000:e/0/0.000000/0.000000/16.000000/16.000000:w/0/0.000000/0.000000/16.000000/16.000000
modellist:id=%spikes,state=type:normal,box=0.800000/0.000000/8.000000/false:15.200000/16.000000/8.000000/0.000000/45.000000/0.000000/8.000000/8.000000/8.000000:s/0/0.000000/0.000000/16.000000/16.000000:n/0/0.000000/0.000000/16.000000/16.000000,box=8.000000/0.000000/0.800000/false:8.000000/16.000000/15.200000/0.000000/45.000000/0.000000/8.000000/8.000000/8.000000:e/0/0.000000/0.000000/16.000000/16.000000:w/0/0.000000/0.000000/16.000000/16.000000
modellist:id=%glasspressureplate,state=powered:true,box=1.000000/0.000000/1.000000:15.000000/1.000000/15.000000:u/0/1.000000/1.000000/15.000000/15.000000:e/0/1.000000/15.000000/15.000000/16.000000:s/0/1.000000/15.000000/15.000000/16.000000:d/0/1.000000/1.000000/15.000000/15.000000:w/0/1.000000/15.000000/15.000000/16.000000:n/0/1.000000/15.000000/15.000000/16.000000
modellist:id=%glasspressureplate,state=powered:false,box=1.000000/0.000000/1.000000:15.000000/1.000000/15.000000:u/0/1.000000/1.000000/15.000000/15.000000:e/0/1.000000/15.000000/15.000000/16.000000:s/0/1.000000/15.000000/15.000000/16.000000:d/0/1.000000/1.000000/15.000000/15.000000:w/0/1.000000/15.000000/15.000000/16.000000:n/0/1.000000/15.000000/15.000000/16.000000
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:attractive, id=7)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:redmatter, id=23)/rotation:down,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/180/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:attractive, id=7)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:sonic, id=10)/rotation:south,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/270/0/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:colors, id=12)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:endothermic, id=18)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:anvil, id=5)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:shrapnel, id=1)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:antimatter, id=22)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:ender, id=20)/rotation:west,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/270/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:breaching, id=11)/rotation:east,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/90/0
modellist:id=%explosives,state=explosive:ExplosiveData(regName=icbmclassic:smoke, id=14)/rotation:north,box=0.000000/0.000000/0.000000:16.000000/16.000000/16.000000:u/2:e/0:s/0:d/1:w/0:n/0:R/90/0/0
